pizza_name_id,pizza_name,pizza_ingredients,Items_Qty_In_Grams,pizza_size
calabrese_m,The Calabrese Pizza,Pancetta,60.0,M
calabrese_m,The Calabrese Pizza,Tomatoes,20.0,M
calabrese_m,The Calabrese Pizza,Red Onions,40.0,M
calabrese_m,The Calabrese Pizza,Friggitello Peppers,10.0,M
calabrese_m,The Calabrese Pizza,Garlic,10.0,M
calabrese_s,The Calabrese Pizza,?duja Salami,20.0,S
calabrese_s,The Calabrese Pizza,Pancetta,30.0,S
calabrese_s,The Calabrese Pizza,Tomatoes,10.0,S
calabrese_s,The Calabrese Pizza,Red Onions,20.0,S
calabrese_s,The Calabrese Pizza,Friggitello Peppers,5.0,S
calabrese_s,The Calabrese Pizza,Garlic,5.0,S
cali_ckn_l,The California Chicken Pizza,Chicken,150.0,L
cali_ckn_l,The California Chicken Pizza,Artichokes,20.0,L
cali_ckn_l,The California Chicken Pizza,Spinach,45.0,L
cali_ckn_l,The California Chicken Pizza,Garlic,15.0,L
cali_ckn_l,The California Chicken Pizza,Jalapeno Peppers,15.0,L
cali_ckn_l,The California Chicken Pizza,Fontina Cheese,30.0,L
cali_ckn_l,The California Chicken Pizza,Gouda Cheese,30.0,L
cali_ckn_m,The California Chicken Pizza,Chicken,100.0,M
cali_ckn_m,The California Chicken Pizza,Artichokes,15.0,M
cali_ckn_m,The California Chicken Pizza,Spinach,30.0,M
cali_ckn_m,The California Chicken Pizza,Garlic,10.0,M
cali_ckn_m,The California Chicken Pizza,Jalapeno Peppers,10.0,M
cali_ckn_m,The California Chicken Pizza,Fontina Cheese,20.0,M
cali_ckn_m,The California Chicken Pizza,Gouda Cheese,20.0,M
cali_ckn_s,The California Chicken Pizza,Chicken,50.0,S
cali_ckn_s,The California Chicken Pizza,Artichokes,10.0,S
cali_ckn_s,The California Chicken Pizza,Spinach,15.0,S
cali_ckn_s,The California Chicken Pizza,Garlic,5.0,S
cali_ckn_s,The California Chicken Pizza,Jalapeno Peppers,5.0,S
cali_ckn_s,The California Chicken Pizza,Fontina Cheese,10.0,S
cali_ckn_s,The California Chicken Pizza,Gouda Cheese,10.0,S
ckn_alfredo_l,The Chicken Alfredo Pizza,Chicken,150.0,L
ckn_alfredo_l,The Chicken Alfredo Pizza,Red Onions,60.0,L
ckn_alfredo_l,The Chicken Alfredo Pizza,Red Peppers,15.0,L
ckn_alfredo_l,The Chicken Alfredo Pizza,Mushrooms,60.0,L
ckn_alfredo_l,The Chicken Alfredo Pizza,Asiago Cheese,30.0,L
ckn_alfredo_l,The Chicken Alfredo Pizza,Alfredo Sauce,20.0,L
ckn_alfredo_m,The Chicken Alfredo Pizza,Chicken,100.0,M
ckn_alfredo_m,The Chicken Alfredo Pizza,Red Onions,40.0,M
ckn_alfredo_m,The Chicken Alfredo Pizza,Red Peppers,10.0,M
ckn_alfredo_m,The Chicken Alfredo Pizza,Mushrooms,40.0,M
ckn_alfredo_m,The Chicken Alfredo Pizza,Asiago Cheese,20.0,M
ckn_alfredo_m,The Chicken Alfredo Pizza,Alfredo Sauce,15.0,M
ckn_alfredo_s,The Chicken Alfredo Pizza,Chicken,50.0,S
ckn_alfredo_s,The Chicken Alfredo Pizza,Red Onions,20.0,S
ckn_alfredo_s,The Chicken Alfredo Pizza,Red Peppers,5.0,S
ckn_alfredo_s,The Chicken Alfredo Pizza,Mushrooms,20.0,S
ckn_alfredo_s,The Chicken Alfredo Pizza,Asiago Cheese,10.0,S
ckn_alfredo_s,The Chicken Alfredo Pizza,Alfredo Sauce,10.0,S
ckn_pesto_l,The Chicken Pesto Pizza,Chicken,150.0,L
ckn_pesto_l,The Chicken Pesto Pizza,Tomatoes,30.0,L
ckn_pesto_l,The Chicken Pesto Pizza,Red Peppers,15.0,L
ckn_pesto_l,The Chicken Pesto Pizza,Spinach,45.0,L
ckn_pesto_l,The Chicken Pesto Pizza,Garlic,15.0,L
ckn_pesto_l,The Chicken Pesto Pizza,Pesto Sauce,30.0,L
ckn_pesto_m,The Chicken Pesto Pizza,Chicken,100.0,M
ckn_pesto_m,The Chicken Pesto Pizza,Tomatoes,20.0,M
ckn_pesto_m,The Chicken Pesto Pizza,Red Peppers,10.0,M
ckn_pesto_m,The Chicken Pesto Pizza,Spinach,30.0,M
ckn_pesto_m,The Chicken Pesto Pizza,Garlic,10.0,M
ckn_pesto_m,The Chicken Pesto Pizza,Pesto Sauce,20.0,M
ckn_pesto_s,The Chicken Pesto Pizza,Chicken,50.0,S
ckn_pesto_s,The Chicken Pesto Pizza,Tomatoes,10.0,S
ckn_pesto_s,The Chicken Pesto Pizza,Red Peppers,5.0,S
ckn_pesto_s,The Chicken Pesto Pizza,Spinach,15.0,S
ckn_pesto_s,The Chicken Pesto Pizza,Garlic,5.0,S
ckn_pesto_s,The Chicken Pesto Pizza,Pesto Sauce,10.0,S
classic_dlx_l,The Classic Deluxe Pizza,Pepperoni,60.0,L
classic_dlx_l,The Classic Deluxe Pizza,Mushrooms,60.0,L
classic_dlx_l,The Classic Deluxe Pizza,Red Onions,60.0,L
classic_dlx_l,The Classic Deluxe Pizza,Red Peppers,15.0,L
classic_dlx_l,The Classic Deluxe Pizza,Bacon,120.0,L
classic_dlx_m,The Classic Deluxe Pizza,Pepperoni,40.0,M
classic_dlx_m,The Classic Deluxe Pizza,Mushrooms,40.0,M
classic_dlx_m,The Classic Deluxe Pizza,Red Onions,40.0,M
classic_dlx_m,The Classic Deluxe Pizza,Red Peppers,10.0,M
classic_dlx_m,The Classic Deluxe Pizza,Bacon,100.0,M
classic_dlx_s,The Classic Deluxe Pizza,Pepperoni,20.0,S
classic_dlx_s,The Classic Deluxe Pizza,Mushrooms,20.0,S
classic_dlx_s,The Classic Deluxe Pizza,Red Onions,20.0,S
classic_dlx_s,The Classic Deluxe Pizza,Red Peppers,5.0,S
classic_dlx_s,The Classic Deluxe Pizza,Bacon,50.0,S
five_cheese_l,The Five Cheese Pizza,Mozzarella Cheese,30.0,L
five_cheese_l,The Five Cheese Pizza,Provolone Cheese,30.0,L
five_cheese_l,The Five Cheese Pizza,Smoked Gouda Cheese,30.0,L
five_cheese_l,The Five Cheese Pizza,Romano Cheese,30.0,L
five_cheese_l,The Five Cheese Pizza,Blue Cheese,30.0,L
five_cheese_l,The Five Cheese Pizza,Garlic,15.0,L
four_cheese_l,The Four Cheese Pizza,Ricotta Cheese,50.0,L
four_cheese_l,The Four Cheese Pizza,Gorgonzola Piccante Cheese,40.0,L
four_cheese_l,The Four Cheese Pizza,Mozzarella Cheese,20.0,L
four_cheese_l,The Four Cheese Pizza,Parmigiano Reggiano Cheese,90.0,L
four_cheese_l,The Four Cheese Pizza,Garlic,15.0,L
four_cheese_m,The Four Cheese Pizza,Ricotta Cheese,25.0,M
four_cheese_m,The Four Cheese Pizza,Gorgonzola Piccante Cheese,20.0,M
four_cheese_m,The Four Cheese Pizza,Mozzarella Cheese,10.0,M
four_cheese_m,The Four Cheese Pizza,Parmigiano Reggiano Cheese,60.0,M
four_cheese_m,The Four Cheese Pizza,Garlic,10.0,M
green_garden_l,The Green Garden Pizza,Spinach,45.0,L
green_garden_l,The Green Garden Pizza,Mushrooms,60.0,L
green_garden_l,The Green Garden Pizza,Tomatoes,30.0,L
green_garden_l,The Green Garden Pizza,Green Olives,15.0,L
green_garden_l,The Green Garden Pizza,Feta Cheese,40.0,L
green_garden_m,The Green Garden Pizza,Spinach,30.0,M
green_garden_m,The Green Garden Pizza,Mushrooms,40.0,M
green_garden_m,The Green Garden Pizza,Tomatoes,20.0,M
green_garden_m,The Green Garden Pizza,Green Olives,10.0,M
green_garden_m,The Green Garden Pizza,Feta Cheese,20.0,M
green_garden_s,The Green Garden Pizza,Spinach,15.0,S
green_garden_s,The Green Garden Pizza,Mushrooms,20.0,S
green_garden_s,The Green Garden Pizza,Tomatoes,10.0,S
green_garden_s,The Green Garden Pizza,Green Olives,5.0,S
green_garden_s,The Green Garden Pizza,Feta Cheese,10.0,S
hawaiian_l,The Hawaiian Pizza,Sliced Ham,45.0,L
hawaiian_l,The Hawaiian Pizza,Pineapple,45.0,L
hawaiian_l,The Hawaiian Pizza,Mozzarella Cheese,30.0,L
hawaiian_m,The Hawaiian Pizza,Sliced Ham,30.0,M
hawaiian_m,The Hawaiian Pizza,Pineapple,30.0,M
hawaiian_m,The Hawaiian Pizza,Mozzarella Cheese,20.0,M
hawaiian_s,The Hawaiian Pizza,Sliced Ham,15.0,S
hawaiian_s,The Hawaiian Pizza,Pineapple,15.0,S
hawaiian_s,The Hawaiian Pizza,Mozzarella Cheese,10.0,S
ital_cpcllo_l,The Italian Capocollo Pizza,Capocollo,150.0,L
ital_cpcllo_l,The Italian Capocollo Pizza,Red Peppers,15.0,L
ital_cpcllo_l,The Italian Capocollo Pizza,Tomatoes,30.0,L
ital_cpcllo_l,The Italian Capocollo Pizza,Goat Cheese,60.0,L
ital_cpcllo_l,The Italian Capocollo Pizza,Garlic,15.0,L
ital_cpcllo_l,The Italian Capocollo Pizza,Oregano,15.0,L
ital_cpcllo_m,The Italian Capocollo Pizza,Capocollo,100.0,M
ital_cpcllo_m,The Italian Capocollo Pizza,Red Peppers,10.0,M
ital_cpcllo_m,The Italian Capocollo Pizza,Tomatoes,20.0,M
ital_cpcllo_m,The Italian Capocollo Pizza,Goat Cheese,40.0,M
ital_cpcllo_m,The Italian Capocollo Pizza,Garlic,10.0,M
ital_cpcllo_m,The Italian Capocollo Pizza,Oregano,10.0,M
ital_cpcllo_s,The Italian Capocollo Pizza,Capocollo,50.0,S
ital_cpcllo_s,The Italian Capocollo Pizza,Red Peppers,5.0,S
ital_cpcllo_s,The Italian Capocollo Pizza,Tomatoes,10.0,S
ital_cpcllo_s,The Italian Capocollo Pizza,Goat Cheese,20.0,S
ital_cpcllo_s,The Italian Capocollo Pizza,Garlic,5.0,S
ital_cpcllo_s,The Italian Capocollo Pizza,Oregano,5.0,S
ital_supr_l,The Italian Supreme Pizza,Calabrese Salami,150.0,L
ital_supr_l,The Italian Supreme Pizza,Capocollo,150.0,L
ital_supr_l,The Italian Supreme Pizza,Tomatoes,30.0,L
ital_supr_l,The Italian Supreme Pizza,Red Onions,60.0,L
ital_supr_l,The Italian Supreme Pizza,Green Olives,15.0,L
ital_supr_l,The Italian Supreme Pizza,Garlic,15.0,L
ital_supr_m,The Italian Supreme Pizza,Calabrese Salami,100.0,M
ital_supr_m,The Italian Supreme Pizza,Capocollo,100.0,M
ital_supr_m,The Italian Supreme Pizza,Tomatoes,20.0,M
ital_supr_m,The Italian Supreme Pizza,Red Onions,40.0,M
ital_supr_m,The Italian Supreme Pizza,Green Olives,10.0,M
ital_supr_m,The Italian Supreme Pizza,Garlic,10.0,M
ital_supr_s,The Italian Supreme Pizza,Calabrese Salami,50.0,S
ital_supr_s,The Italian Supreme Pizza,Capocollo,50.0,S
ital_supr_s,The Italian Supreme Pizza,Tomatoes,10.0,S
ital_supr_s,The Italian Supreme Pizza,Red Onions,20.0,S
ital_supr_s,The Italian Supreme Pizza,Green Olives,5.0,S
ital_supr_s,The Italian Supreme Pizza,Garlic,5.0,S
ital_veggie_l,The Italian Vegetables Pizza,Eggplant,60.0,L
ital_veggie_l,The Italian Vegetables Pizza,Artichokes,20.0,L
ital_veggie_l,The Italian Vegetables Pizza,Tomatoes,30.0,L
ital_veggie_l,The Italian Vegetables Pizza,Zucchini,30.0,L
ital_veggie_l,The Italian Vegetables Pizza,Red Peppers,15.0,L
ital_veggie_l,The Italian Vegetables Pizza,Garlic,15.0,L
ital_veggie_l,The Italian Vegetables Pizza,Pesto Sauce,30.0,L
ital_veggie_m,The Italian Vegetables Pizza,Eggplant,40.0,M
ital_veggie_m,The Italian Vegetables Pizza,Artichokes,15.0,M
ital_veggie_m,The Italian Vegetables Pizza,Tomatoes,20.0,M
ital_veggie_m,The Italian Vegetables Pizza,Zucchini,20.0,M
ital_veggie_m,The Italian Vegetables Pizza,Red Peppers,10.0,M
ital_veggie_m,The Italian Vegetables Pizza,Garlic,10.0,M
ital_veggie_m,The Italian Vegetables Pizza,Pesto Sauce,20.0,M
ital_veggie_s,The Italian Vegetables Pizza,Eggplant,20.0,S
ital_veggie_s,The Italian Vegetables Pizza,Artichokes,10.0,S
ital_veggie_s,The Italian Vegetables Pizza,Tomatoes,10.0,S
ital_veggie_s,The Italian Vegetables Pizza,Zucchini,10.0,S
ital_veggie_s,The Italian Vegetables Pizza,Red Peppers,5.0,S
ital_veggie_s,The Italian Vegetables Pizza,Garlic,5.0,S
ital_veggie_s,The Italian Vegetables Pizza,Pesto Sauce,10.0,S
mediterraneo_l,The Mediterranean Pizza,Spinach,45.0,L
mediterraneo_l,The Mediterranean Pizza,Artichokes,20.0,L
mediterraneo_l,The Mediterranean Pizza,Kalamata Olives,15.0,L
mediterraneo_l,The Mediterranean Pizza,Sun-dried Tomatoes,15.0,L
mediterraneo_l,The Mediterranean Pizza,Feta Cheese,40.0,L
mediterraneo_l,The Mediterranean Pizza,Plum Tomatoes,60.0,L
mediterraneo_l,The Mediterranean Pizza,Red Onions,60.0,L
mediterraneo_m,The Mediterranean Pizza,Spinach,30.0,M
mediterraneo_m,The Mediterranean Pizza,Artichokes,15.0,M
mediterraneo_m,The Mediterranean Pizza,Kalamata Olives,10.0,M
mediterraneo_m,The Mediterranean Pizza,Sun-dried Tomatoes,10.0,M
mediterraneo_m,The Mediterranean Pizza,Feta Cheese,20.0,M
mediterraneo_m,The Mediterranean Pizza,Plum Tomatoes,40.0,M
mediterraneo_m,The Mediterranean Pizza,Red Onions,40.0,M
mediterraneo_s,The Mediterranean Pizza,Spinach,15.0,S
mediterraneo_s,The Mediterranean Pizza,Artichokes,10.0,S
mediterraneo_s,The Mediterranean Pizza,Kalamata Olives,5.0,S
mediterraneo_s,The Mediterranean Pizza,Sun-dried Tomatoes,5.0,S
mediterraneo_s,The Mediterranean Pizza,Feta Cheese,10.0,S
mediterraneo_s,The Mediterranean Pizza,Plum Tomatoes,20.0,S
mediterraneo_s,The Mediterranean Pizza,Red Onions,20.0,S
mexicana_l,The Mexicana Pizza,Tomatoes,30.0,L
mexicana_l,The Mexicana Pizza,Red Peppers,15.0,L
mexicana_l,The Mexicana Pizza,Jalapeno Peppers,15.0,L
mexicana_l,The Mexicana Pizza,Red Onions,60.0,L
mexicana_l,The Mexicana Pizza,Cilantro,15.0,L
mexicana_l,The Mexicana Pizza,Corn,100.0,L
mexicana_l,The Mexicana Pizza,Chipotle Sauce,30.0,L
mexicana_l,The Mexicana Pizza,Garlic,15.0,L
mexicana_m,The Mexicana Pizza,Tomatoes,20.0,M
mexicana_m,The Mexicana Pizza,Red Peppers,10.0,M
mexicana_m,The Mexicana Pizza,Jalapeno Peppers,10.0,M
mexicana_m,The Mexicana Pizza,Red Onions,40.0,M
mexicana_m,The Mexicana Pizza,Cilantro,10.0,M
mexicana_m,The Mexicana Pizza,Corn,70.0,M
mexicana_m,The Mexicana Pizza,Chipotle Sauce,20.0,M
mexicana_m,The Mexicana Pizza,Garlic,10.0,M
mexicana_s,The Mexicana Pizza,Tomatoes,10.0,S
mexicana_s,The Mexicana Pizza,Red Peppers,5.0,S
mexicana_s,The Mexicana Pizza,Jalapeno Peppers,5.0,S
mexicana_s,The Mexicana Pizza,Red Onions,20.0,S
mexicana_s,The Mexicana Pizza,Cilantro,5.0,S
mexicana_s,The Mexicana Pizza,Corn,30.0,S
mexicana_s,The Mexicana Pizza,Chipotle Sauce,10.0,S
mexicana_s,The Mexicana Pizza,Garlic,5.0,S
napolitana_l,The Napolitana Pizza,Tomatoes,30.0,L
napolitana_l,The Napolitana Pizza,Anchovies,40.0,L
napolitana_l,The Napolitana Pizza,Green Olives,15.0,L
napolitana_l,The Napolitana Pizza,Red Onions,60.0,L
napolitana_l,The Napolitana Pizza,Garlic,15.0,L
napolitana_m,The Napolitana Pizza,Tomatoes,20.0,M
napolitana_m,The Napolitana Pizza,Anchovies,30.0,M
napolitana_m,The Napolitana Pizza,Green Olives,10.0,M
napolitana_m,The Napolitana Pizza,Red Onions,40.0,M
napolitana_m,The Napolitana Pizza,Garlic,10.0,M
napolitana_s,The Napolitana Pizza,Tomatoes,10.0,S
napolitana_s,The Napolitana Pizza,Anchovies,15.0,S
napolitana_s,The Napolitana Pizza,Green Olives,5.0,S
napolitana_s,The Napolitana Pizza,Red Onions,20.0,S
napolitana_s,The Napolitana Pizza,Garlic,5.0,S
pep_msh_pep_l,"The Pepperoni, Mushroom, and Peppers Pizza",Pepperoni,60.0,L
pep_msh_pep_l,"The Pepperoni, Mushroom, and Peppers Pizza",Mushrooms,60.0,L
pep_msh_pep_l,"The Pepperoni, Mushroom, and Peppers Pizza",Green Peppers,20.0,L
pep_msh_pep_m,"The Pepperoni, Mushroom, and Peppers Pizza",Pepperoni,40.0,M
pep_msh_pep_m,"The Pepperoni, Mushroom, and Peppers Pizza",Mushrooms,40.0,M
pep_msh_pep_m,"The Pepperoni, Mushroom, and Peppers Pizza",Green Peppers,15.0,M
pep_msh_pep_s,"The Pepperoni, Mushroom, and Peppers Pizza",Pepperoni,20.0,S
pep_msh_pep_s,"The Pepperoni, Mushroom, and Peppers Pizza",Mushrooms,20.0,S
pep_msh_pep_s,"The Pepperoni, Mushroom, and Peppers Pizza",Green Peppers,20.0,S
pepperoni_l,The Pepperoni Pizza,Mozzarella Cheese,30.0,L
pepperoni_l,The Pepperoni Pizza,Pepperoni,60.0,L
pepperoni_m,The Pepperoni Pizza,Mozzarella Cheese,20.0,M
pepperoni_m,The Pepperoni Pizza,Pepperoni,40.0,M
pepperoni_s,The Pepperoni Pizza,Mozzarella Cheese,10.0,S
pepperoni_s,The Pepperoni Pizza,Pepperoni,20.0,S
peppr_salami_l,The Pepper Salami Pizza,Genoa Salami,90.0,L
peppr_salami_l,The Pepper Salami Pizza,Capocollo,150.0,L
peppr_salami_l,The Pepper Salami Pizza,Pepperoni,60.0,L
peppr_salami_l,The Pepper Salami Pizza,Tomatoes,30.0,L
peppr_salami_l,The Pepper Salami Pizza,Asiago Cheese,30.0,L
peppr_salami_l,The Pepper Salami Pizza,Garlic,15.0,L
peppr_salami_m,The Pepper Salami Pizza,Genoa Salami,60.0,M
peppr_salami_m,The Pepper Salami Pizza,Capocollo,100.0,M
peppr_salami_m,The Pepper Salami Pizza,Pepperoni,40.0,M
peppr_salami_m,The Pepper Salami Pizza,Tomatoes,20.0,M
peppr_salami_m,The Pepper Salami Pizza,Asiago Cheese,20.0,M
peppr_salami_m,The Pepper Salami Pizza,Garlic,10.0,M
peppr_salami_s,The Pepper Salami Pizza,Genoa Salami,30.0,S
peppr_salami_s,The Pepper Salami Pizza,Capocollo,50.0,S
peppr_salami_s,The Pepper Salami Pizza,Pepperoni,20.0,S
peppr_salami_s,The Pepper Salami Pizza,Tomatoes,10.0,S
peppr_salami_s,The Pepper Salami Pizza,Asiago Cheese,10.0,S
peppr_salami_s,The Pepper Salami Pizza,Garlic,5.0,S
prsc_argla_l,The Prosciutto and Arugula Pizza,Prosciutto di San Daniele,40.0,L
prsc_argla_l,The Prosciutto and Arugula Pizza,Arugula,15.0,L
prsc_argla_l,The Prosciutto and Arugula Pizza,Mozzarella Cheese,30.0,L
prsc_argla_m,The Prosciutto and Arugula Pizza,Prosciutto di San Daniele,20.0,M
prsc_argla_m,The Prosciutto and Arugula Pizza,Arugula,10.0,M
prsc_argla_m,The Prosciutto and Arugula Pizza,Mozzarella Cheese,20.0,M
prsc_argla_s,The Prosciutto and Arugula Pizza,Prosciutto di San Daniele,10.0,S
prsc_argla_s,The Prosciutto and Arugula Pizza,Arugula,5.0,S
prsc_argla_s,The Prosciutto and Arugula Pizza,Mozzarella Cheese,10.0,S
sicilian_l,The Sicilian Pizza,Coarse Sicilian Salami,120.0,L
sicilian_l,The Sicilian Pizza,Tomatoes,30.0,L
sicilian_l,The Sicilian Pizza,Green Olives,15.0,L
sicilian_l,The Sicilian Pizza,Luganega Sausage,60.0,L
sicilian_l,The Sicilian Pizza,Onions,30.0,L
sicilian_l,The Sicilian Pizza,Garlic,15.0,L
sicilian_m,The Sicilian Pizza,Coarse Sicilian Salami,80.0,M
sicilian_m,The Sicilian Pizza,Tomatoes,20.0,M
sicilian_m,The Sicilian Pizza,Green Olives,10.0,M
sicilian_m,The Sicilian Pizza,Luganega Sausage,40.0,M
sicilian_m,The Sicilian Pizza,Onions,20.0,M
sicilian_m,The Sicilian Pizza,Garlic,10.0,M
sicilian_s,The Sicilian Pizza,Coarse Sicilian Salami,40.0,S
sicilian_s,The Sicilian Pizza,Tomatoes,10.0,S
sicilian_s,The Sicilian Pizza,Green Olives,5.0,S
sicilian_s,The Sicilian Pizza,Luganega Sausage,20.0,S
sicilian_s,The Sicilian Pizza,Onions,10.0,S
sicilian_s,The Sicilian Pizza,Garlic,5.0,S
soppressata_l,The Soppressata Pizza,Soppressata Salami,150.0,L
soppressata_l,The Soppressata Pizza,Fontina Cheese,30.0,L
soppressata_l,The Soppressata Pizza,Mozzarella Cheese,30.0,L
soppressata_l,The Soppressata Pizza,Mushrooms,60.0,L
soppressata_l,The Soppressata Pizza,Garlic,15.0,L
soppressata_m,The Soppressata Pizza,Soppressata Salami,100.0,M
soppressata_m,The Soppressata Pizza,Fontina Cheese,20.0,M
soppressata_m,The Soppressata Pizza,Mozzarella Cheese,20.0,M
soppressata_m,The Soppressata Pizza,Mushrooms,40.0,M
soppressata_m,The Soppressata Pizza,Garlic,10.0,M
soppressata_s,The Soppressata Pizza,Soppressata Salami,50.0,S
soppressata_s,The Soppressata Pizza,Fontina Cheese,10.0,S
soppressata_s,The Soppressata Pizza,Mozzarella Cheese,10.0,S
soppressata_s,The Soppressata Pizza,Mushrooms,20.0,S
soppressata_s,The Soppressata Pizza,Garlic,5.0,S
southw_ckn_l,The Southwest Chicken Pizza,Chicken,150.0,L
southw_ckn_l,The Southwest Chicken Pizza,Tomatoes,30.0,L
southw_ckn_l,The Southwest Chicken Pizza,Red Peppers,15.0,L
southw_ckn_l,The Southwest Chicken Pizza,Red Onions,60.0,L
southw_ckn_l,The Southwest Chicken Pizza,Jalapeno Peppers,15.0,L
southw_ckn_l,The Southwest Chicken Pizza,Corn,100.0,L
southw_ckn_l,The Southwest Chicken Pizza,Cilantro,15.0,L
southw_ckn_l,The Southwest Chicken Pizza,Chipotle Sauce,30.0,L
southw_ckn_m,The Southwest Chicken Pizza,Chicken,100.0,M
southw_ckn_m,The Southwest Chicken Pizza,Tomatoes,20.0,M
southw_ckn_m,The Southwest Chicken Pizza,Red Peppers,10.0,M
southw_ckn_m,The Southwest Chicken Pizza,Red Onions,40.0,M
southw_ckn_m,The Southwest Chicken Pizza,Jalapeno Peppers,10.0,M
southw_ckn_m,The Southwest Chicken Pizza,Corn,70.0,M
southw_ckn_m,The Southwest Chicken Pizza,Cilantro,10.0,M
southw_ckn_m,The Southwest Chicken Pizza,Chipotle Sauce,20.0,M
southw_ckn_s,The Southwest Chicken Pizza,Chicken,50.0,S
southw_ckn_s,The Southwest Chicken Pizza,Tomatoes,10.0,S
southw_ckn_s,The Southwest Chicken Pizza,Red Peppers,5.0,S
southw_ckn_s,The Southwest Chicken Pizza,Red Onions,20.0,S
southw_ckn_s,The Southwest Chicken Pizza,Jalapeno Peppers,5.0,S
southw_ckn_s,The Southwest Chicken Pizza,Corn,30.0,S
southw_ckn_s,The Southwest Chicken Pizza,Cilantro,5.0,S
southw_ckn_s,The Southwest Chicken Pizza,Chipotle Sauce,10.0,S
spicy_ital_l,The Spicy Italian Pizza,Capocollo,150.0,L
spicy_ital_l,The Spicy Italian Pizza,Tomatoes,30.0,L
spicy_ital_l,The Spicy Italian Pizza,Goat Cheese,60.0,L
spicy_ital_l,The Spicy Italian Pizza,Artichokes,20.0,L
spicy_ital_l,The Spicy Italian Pizza,Peperoncini verdi,15.0,L
spicy_ital_l,The Spicy Italian Pizza,Garlic,15.0,L
spicy_ital_m,The Spicy Italian Pizza,Capocollo,100.0,M
spicy_ital_m,The Spicy Italian Pizza,Tomatoes,20.0,M
spicy_ital_m,The Spicy Italian Pizza,Goat Cheese,40.0,M
spicy_ital_m,The Spicy Italian Pizza,Artichokes,15.0,M
spicy_ital_m,The Spicy Italian Pizza,Peperoncini verdi,10.0,M
spicy_ital_m,The Spicy Italian Pizza,Garlic,10.0,M
spicy_ital_s,The Spicy Italian Pizza,Capocollo,50.0,S
spicy_ital_s,The Spicy Italian Pizza,Tomatoes,10.0,S
spicy_ital_s,The Spicy Italian Pizza,Goat Cheese,20.0,S
spicy_ital_s,The Spicy Italian Pizza,Artichokes,10.0,S
spicy_ital_s,The Spicy Italian Pizza,Peperoncini verdi,5.0,S
spicy_ital_s,The Spicy Italian Pizza,Garlic,5.0,S
spin_pesto_l,The Spinach Pesto Pizza,Spinach,45.0,L
spin_pesto_l,The Spinach Pesto Pizza,Artichokes,20.0,L
spin_pesto_l,The Spinach Pesto Pizza,Tomatoes,30.0,L
spin_pesto_l,The Spinach Pesto Pizza,Sun-dried Tomatoes,15.0,L
spin_pesto_l,The Spinach Pesto Pizza,Garlic,15.0,L
spin_pesto_l,The Spinach Pesto Pizza,Pesto Sauce,30.0,L
